order_id,payment_method,payment_status
ORD00565,Mpesa,Pending
ORD00566,Bank Transfer,Paid
ORD00567,Credit Card,Paid
ORD00568,Bank Transfer,Paid
ORD00569,Credit Card,Pending
ORD00570,Credit Card,Paid
ORD00571,Mpesa,Paid
ORD00572,Credit Card,Pending
ORD00573,Mpesa,Paid
ORD00574,Credit Card,Paid
ORD00575,Mpesa,Pending
ORD00576,Mpesa,Pending
ORD00577,Mpesa,Pending
ORD00578,Bank Transfer,Pending
ORD00579,Mpesa,Paid
ORD00580,Mpesa,Pending
ORD00581,Bank Transfer,Pending
ORD00582,Mpesa,Paid
ORD00583,Bank Transfer,Paid
ORD00584,Credit Card,Pending
ORD00585,Credit Card,Pending
ORD00586,Mpesa,Pending
ORD00587,Mpesa,Pending
ORD00588,Mpesa,Paid
ORD00589,Bank Transfer,Paid
ORD00590,Bank Transfer,Pending
ORD00591,Mpesa,Paid
ORD00592,Bank Transfer,Paid
ORD00593,Mpesa,Pending
ORD00594,Mpesa,Pending
ORD00595,Mpesa,Pending
ORD00596,Credit Card,Paid
ORD00597,Bank Transfer,Pending
ORD00598,Mpesa,Pending
ORD00599,Bank Transfer,Pending
ORD00600,Mpesa,Pending
ORD00601,Mpesa,Paid
ORD00602,Bank Transfer,Paid
ORD00603,Mpesa,Pending
ORD00604,Credit Card,Pending
ORD00605,Credit Card,Pending
ORD00606,Mpesa,Paid
ORD00607,Mpesa,Paid
ORD00608,Mpesa,Paid
ORD00609,Mpesa,Paid
ORD00610,Credit Card,Pending
ORD00611,Bank Transfer,Pending
ORD00612,Credit Card,Paid
ORD00613,Credit Card,Pending
ORD00614,Mpesa,Pending
ORD00615,Credit Card,Paid
ORD00616,Credit Card,Paid
ORD00617,Bank Transfer,Pending
ORD00618,Mpesa,Pending
ORD00619,Credit Card,Pending
ORD00620,Mpesa,Paid
ORD00621,Bank Transfer,Pending
ORD00622,Credit Card,Pending
ORD00623,Bank Transfer,Paid
ORD00624,Bank Transfer,Paid
ORD00625,Mpesa,Pending
ORD00626,Bank Transfer,Paid
ORD00627,Bank Transfer,Pending
ORD00628,Mpesa,Paid
ORD00629,Mpesa,Paid
ORD00630,Bank Transfer,Paid
ORD00631,Mpesa,Pending
ORD00632,Credit Card,Paid
ORD00633,Credit Card,Paid
ORD00634,Bank Transfer,Paid
ORD00635,Credit Card,Pending
ORD00636,Bank Transfer,Pending
ORD00637,Credit Card,Pending
ORD00638,Bank Transfer,Paid
ORD00639,Credit Card,Paid
ORD00640,Credit Card,Paid
ORD00641,Credit Card,Paid
ORD00642,Credit Card,Pending
ORD00643,Credit Card,Paid
ORD00644,Credit Card,Paid
ORD00645,Credit Card,Pending
ORD00646,Bank Transfer,Pending
ORD00647,Bank Transfer,Pending
ORD00648,Bank Transfer,Paid
ORD00649,Bank Transfer,Paid
ORD00650,Bank Transfer,Pending
ORD00651,Credit Card,Paid
ORD00652,Mpesa,Paid
ORD00653,Bank Transfer,Pending
ORD00654,Bank Transfer,Paid
ORD00655,Credit Card,Paid
ORD00656,Mpesa,Pending
ORD00657,Credit Card,Pending
ORD00658,Mpesa,Paid
ORD00659,Bank Transfer,Paid
ORD00660,Mpesa,Pending
ORD00661,Bank Transfer,Pending
ORD00662,Bank Transfer,Pending
ORD00663,Mpesa,Pending
ORD00664,Credit Card,Paid
ORD00665,Credit Card,Paid
ORD00666,Bank Transfer,Pending
ORD00667,Mpesa,Paid
ORD00668,Credit Card,Paid
ORD00669,Credit Card,Pending
ORD00670,Mpesa,Paid
ORD00671,Credit Card,Paid
ORD00672,Credit Card,Pending
ORD00673,Credit Card,Paid
ORD00674,Credit Card,Paid
ORD00675,Mpesa,Pending
ORD00676,Credit Card,Pending
ORD00677,Credit Card,Pending
ORD00678,Credit Card,Pending
ORD00679,Mpesa,Pending
ORD00680,Credit Card,Paid
ORD00681,Credit Card,Pending
ORD00682,Mpesa,Paid
ORD00683,Credit Card,Paid
ORD00684,Bank Transfer,Pending
ORD00685,Mpesa,Pending
ORD00686,Credit Card,Pending
ORD00687,Credit Card,Paid
ORD00688,Mpesa,Pending
ORD00689,Bank Transfer,Paid
ORD00690,Mpesa,Paid
ORD00691,Bank Transfer,Pending
ORD00692,Mpesa,Paid
ORD00693,Credit Card,Pending
ORD00694,Bank Transfer,Paid
ORD00695,Mpesa,Pending
ORD00696,Bank Transfer,Paid
ORD00697,Bank Transfer,Pending
ORD00698,Credit Card,Paid
ORD00699,Credit Card,Paid
ORD00700,Credit Card,Paid
ORD00701,Credit Card,Pending
ORD00702,Bank Transfer,Paid
ORD00703,Credit Card,Pending
ORD00704,Credit Card,Pending
ORD00705,Mpesa,Pending
ORD00706,Bank Transfer,Paid
ORD00707,Mpesa,Paid
ORD00708,Mpesa,Pending
ORD00709,Bank Transfer,Paid
ORD00710,Mpesa,Paid
ORD00711,Mpesa,Pending
ORD00712,Credit Card,Paid
ORD00713,Credit Card,Paid
ORD00714,Bank Transfer,Pending
ORD00715,Bank Transfer,Pending
ORD00716,Credit Card,Pending
ORD00717,Mpesa,Paid
ORD00718,Credit Card,Paid
ORD00719,Credit Card,Paid
ORD00720,Bank Transfer,Paid
ORD00721,Mpesa,Pending
ORD00722,Credit Card,Paid
ORD00723,Mpesa,Paid
ORD00724,Credit Card,Paid
ORD00725,Credit Card,Paid
ORD00726,Bank Transfer,Pending
ORD00727,Bank Transfer,Pending
ORD00728,Credit Card,Paid
ORD00729,Credit Card,Paid
ORD00730,Bank Transfer,Pending
ORD00731,Mpesa,Paid
ORD00732,Credit Card,Pending
ORD00733,Mpesa,Pending
ORD00734,Bank Transfer,Pending
ORD00735,Credit Card,Paid
ORD00736,Mpesa,Pending
ORD00737,Mpesa,Pending
ORD00738,Credit Card,Paid
ORD00739,Mpesa,Paid
ORD00740,Bank Transfer,Pending
ORD00741,Credit Card,Pending
ORD00742,Mpesa,Paid
ORD00743,Credit Card,Paid
ORD00744,Mpesa,Pending
ORD00745,Credit Card,Pending
ORD00746,Mpesa,Paid
ORD00747,Bank Transfer,Pending
ORD00748,Mpesa,Paid
ORD00749,Credit Card,Paid
ORD00750,Bank Transfer,Pending
ORD00751,Mpesa,Pending
ORD00752,Credit Card,Pending
ORD00753,Bank Transfer,Paid
ORD00754,Mpesa,Paid
ORD00755,Bank Transfer,Pending
ORD00756,Bank Transfer,Pending
ORD00757,Credit Card,Paid
ORD00758,Bank Transfer,Pending
ORD00759,Credit Card,Pending
ORD00760,Bank Transfer,Paid
ORD00761,Mpesa,Paid
ORD00762,Bank Transfer,Pending
ORD00763,Bank Transfer,Pending
ORD00764,Credit Card,Pending
ORD00765,Credit Card,Paid
ORD00766,Bank Transfer,Paid
ORD00767,Bank Transfer,Pending
ORD00768,Bank Transfer,Paid
ORD00769,Bank Transfer,Paid
ORD00770,Mpesa,Paid
ORD00771,Credit Card,Pending
ORD00772,Bank Transfer,Paid
ORD00773,Credit Card,Pending
ORD00774,Mpesa,Pending
ORD00775,Credit Card,Pending
ORD00776,Bank Transfer,Paid
ORD00777,Credit Card,Paid
ORD00778,Credit Card,Pending
ORD00779,Bank Transfer,Paid
ORD00780,Credit Card,Pending
ORD00781,Credit Card,Pending
ORD00782,Bank Transfer,Paid
ORD00783,Bank Transfer,Paid
ORD00784,Credit Card,Pending
ORD00785,Mpesa,Pending
ORD00786,Mpesa,Pending
ORD00787,Credit Card,Paid
ORD00788,Bank Transfer,Pending
ORD00789,Credit Card,Pending
ORD00790,Bank Transfer,Pending
ORD00791,Mpesa,Pending
ORD00792,Mpesa,Pending
ORD00793,Mpesa,Pending
ORD00794,Bank Transfer,Pending
ORD00795,Mpesa,Pending
ORD00796,Credit Card,Pending
ORD00797,Bank Transfer,Pending
ORD00798,Mpesa,Paid
ORD00799,Credit Card,Pending
ORD00800,Mpesa,Pending
ORD00801,Mpesa,Pending
ORD00802,Bank Transfer,Paid
ORD00803,Mpesa,Paid
ORD00804,Bank Transfer,Pending
ORD00805,Bank Transfer,Pending
ORD00806,Credit Card,Pending
ORD00807,Mpesa,Paid
ORD00808,Bank Transfer,Pending
ORD00809,Bank Transfer,Paid
ORD00810,Credit Card,Pending
ORD00811,Credit Card,Paid
ORD00812,Credit Card,Paid
ORD00813,Credit Card,Pending
ORD00814,Mpesa,Pending
ORD00815,Credit Card,Paid
ORD00816,Credit Card,Pending
ORD00817,Bank Transfer,Pending
ORD00818,Credit Card,Pending
ORD00819,Bank Transfer,Pending
ORD00820,Credit Card,Pending
ORD00821,Credit Card,Paid
ORD00822,Mpesa,Pending
ORD00823,Mpesa,Pending
ORD00824,Mpesa,Paid
ORD00825,Credit Card,Pending
ORD00826,Mpesa,Paid
ORD00827,Credit Card,Paid
ORD00828,Bank Transfer,Paid
ORD00829,Bank Transfer,Pending
ORD00830,Bank Transfer,Paid
ORD00831,Bank Transfer,Pending
ORD00832,Credit Card,Pending
ORD00833,Credit Card,Paid
ORD00834,Credit Card,Paid
ORD00835,Mpesa,Paid
ORD00836,Credit Card,Paid
ORD00837,Mpesa,Paid
ORD00838,Mpesa,Paid
ORD00839,Mpesa,Paid
